timestamp_utc,type,slug,detail,amount_usd
2026-09-16T09:31:08+00:00,BUY,fed-decision-in-september-762,25 bps increase @ 0.884 x11.2,-10.0
2026-09-16T09:31:08+00:00,SETTLE,fed-decision-in-september-762,25 bps increase -> WIN,11.2421
